"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana Aprs Mute","Send Talker Alias"
"1","Channel 1","146.94000","146.34000","A-Analog","Turbo","25K","Off","136.5","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0"
"2","Channel 2","436.32500","436.32500","D-Digital","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Always","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0"
"3","Channel 3","437.57500","437.57500","A+D TX A","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0"
"4","Channel 4","438.87500","438.87500","D+A TX D","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Always","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0"
"5","Channel 5","144.52500","144.52500","A-Analog","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0"
"6","Channel 6","146.32500","146.32500","D-Digital","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Always","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0"
"7","Channel 7","147.57500","147.57500","A+D TX A","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0"
"8","Channel 8","148.87500","148.87500","D+A TX D","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Always","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0"
"4001","Channel VFO A","140.00000","140.00000","A-Analog","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0"
"4002","Channel VFO B","145.12500","145.12500","D-Digital","Turbo","25K","Off","Off","Contact1","Group Call","12345678","My Radio","Always","Carrier","Off","1","1","1","Off","1","1","None","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0"
